id,time no sleep,calorise,,
1503960366,22.92,1816.419355,,
1644430081,52,2811.3,,
1927972279,20.8,2172.806452,,
2026352035,31.46428571,1540.645161,,
2320127002,8,1724.16129,,
2347167796,44.53333333,2043.444444,,
4020332650,30.375,2385.806452,,
4319703577,25.30769231,2037.677419,,
4388161847,23.04347826,3093.870968,,
4445114986,31.64285714,2186.193548,,
4558609924,12.4,2033.258065,,
4702921684,20.74074074,2965.548387,,
5553957443,42.38709677,1875.677419,,
5577150313,28.61538462,3359.633333,,
6117666160,31.38888889,2261.142857,,
6775888955,19.33333333,2131.769231,,
6962181067,18.12903226,1982.032258,,
7007744171,3,2544,,
7086361926,13.29166667,2566.354839,,
8053475328,4.666666667,2945.806452,,
8378563200,40.80645161,3436.580645,,
8792009665,18.13333333,1962.310345,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
